,property_id,address,property_name,description,num_bedroom,num_bathroom,area_size,price,transaction_type,property_type,parking,laundry,furnished,pet_friendly,latitude,longitude,build_year,smoking_allowed,air_conditioning,hardwood_floors,balcony
30,294096,10020 103 Avenue,Mainstreet Tower,10020 103 Avenue,studio,1,,949,Rent,Apartment,outdoor,shared,False,False,53.5456934,-113.492029,2000-01-01,False,True,True,False
31,272719,10205 100 Avenue,Downtown High-rise Apartment Near Jasper Ave!,10205 100 Avenue,1,1,1245,1281,Rent,Apartment,covered,shared,False,True,53.538529,-113.4951334,2000-01-01,False,False,False,True
32,478152,10500 45 Avenue NW,SOUTH RIDGE APARTMENTS EDMONTON,10500 45 Avenue NW,2,1,1054,1299,Rent,Apartment,outdoor,in_suite,False,True,53.483114,-113.5023377,2000-01-01,False,False,True,False
33,289360,10710 110 Street NW,Oakmount Manor,10710 110 Street NW,studio,1,332,799,Rent,Apartment,covered,shared,False,True,53.5517734,-113.5108511,2000-01-01,False,False,False,False
34,495803,10611 – 116 St NW,Midtown Estates Apartments,10611 – 116 St NW,2,1,970,1720,Rent,Apartment,covered,shared,False,True,53.550393089394,-113.5207478159,2000-01-01,False,True,False,False
35,413251,11530 124 St NW,PARKLANE GARDENS,11530 124 St NW,1,1,0,925,Rent,Apartment,garage,in_suite,False,True,53.566489,-113.536245,2000-01-01,False,True,True,True
36,455314,1-33 Hooke Rd NW,HOOKE COUNTY TOWNHOMES,1-33 Hooke Rd NW,2,1.5,1039,1424,Rent,Townhouse,outdoor,shared,False,True,53.584281364143,-113.39035104302,2000-01-01,False,False,False,True
37,313667,,"Fast access to NAIT, downtown,Royal Alex hospital",,studio,1,1100,895,Rent,Apartment,garage,in_suite,False,True,53.5698409,-113.479492,2000-01-01,False,False,False,False
38,518608,15304 100 Avenue Northwest,Shelly Manor,15304 100 Avenue Northwest,studio,1,,900,Rent,Apartment,garage,in_suite,True,True,53.5394193,-113.5853941,2000-01-01,False,False,False,True
39,334286,7315 Yellowhead Trail,CANADA WEST COURTS,7315 Yellowhead Trail,1,1,0,819,Rent,Apartment,garage,in_suite,False,True,53.582332,-113.4585276,2000-01-01,False,True,True,False
40,354691,10910 110 St NW,HUDSON COURT,10910 110 St NW,1,1,717,1099,Rent,Apartment,covered,shared,True,True,53.5549766,-113.510633,2000-01-01,False,True,False,False
41,456596,1-15 Hyndman Crescent,CAVELL RIDGE TOWNHOMES,1-15 Hyndman Crescent,3,1.5,1100,1584,Rent,Townhouse,outdoor,in_suite,False,True,53.5792244,-113.3790085,2000-01-01,False,True,False,True
42,450162,11808 100 Avenue Northwest,Great Apartment - Apartments For Rent In Downtown Edmonton | The Mayflower,11808 100 Avenue Northwest,1,1,1120,1465,Rent,Apartment,underground,shared,True,False,53.5396521,-113.5254746,2000-01-01,False,False,False,False
43,334156,12025 82 Street,CAVENDISH APARTMENTS,12025 82 Street,2,1,700,949,Rent,Apartment,underground,shared,True,True,53.5741455,-113.4669914,2000-01-01,False,True,False,True
44,334154,11037 83 Street,LINDA MANOR,11037 83 Street,3,1,0,1350,Rent,Apartment,covered,in_suite,True,True,53.5591432,-113.4686969,2000-01-01,False,False,True,True
45,518097,10629 114 Street,Cozy Apartments in Queen Mary Park!,10629 114 Street,studio,1,,875,Rent,Apartment,covered,shared,True,False,53.5505662,-113.5172695,2000-01-01,False,True,False,False
46,439201,12911 132 Avenue Northwest,Spacious Townhouse Units NW Edmonton,12911 132 Avenue Northwest,2,1,850,1000,Rent,Townhouse,outdoor,shared,True,True,53.591983,-113.5452802,2000-01-01,False,False,False,False
47,519098,10735 84 Ave,Welcome to The Garneau! - 6 Unit Apartment,10735 84 Ave,2,2,788,1750,Rent,Apartment,garage,in_suite,False,True,53.5198378,-113.5080801,2000-01-01,False,True,False,True
48,508373,10333 121 St. NW,Lamplighter Apartments,10333 121 St. NW,2,1,1040,1495,Rent,Apartment,covered,shared,True,True,53.5457805,-113.5303152,2000-01-01,False,False,True,True
49,478927,10049 103 Street,Jasper Heights Apartments,10049 103 Street,studio,1,500,1167,Rent,Apartment,garage,shared,False,True,53.5402876,-113.4970901,2000-01-01,False,True,False,False
50,334147,10125 153 Street,CLOVERDALE APARTMENTS,10125 153 Street,1,1,515,900,Rent,Apartment,garage,in_suite,True,True,53.5421565,-113.5844926,2000-01-01,False,False,True,True
